1500	0.0976632420	1.0000000000	0.0035736363
2000	0.1105573808	1.0000000000	0.0056706967
2500	0.1199215291	1.0000000000	0.0044623021
3000	0.1372539476	1.0000000000	0.0036653463
3500	0.1553883431	0.9993617656	0.0034679371
4000	0.1662769051	0.9997502872	0.0022304088
4500	0.1803829677	0.9988372505	0.0040674970
5000	0.2180946498	0.9948513788	0.0122844428
5500	0.2304090245	0.9957936161	0.0230011545
6000	0.2823984193	0.9860655958	0.6223225477
6500	0.3402616279	0.9619092007	0.9284590626
7000	0.4081573835	0.9372769144	0.9843316901
7500	0.5368315929	0.8747245263	0.9626195072
