1500	0.0531381302	1.0000000000	0.0175971514
2000	0.0616751226	1.0000000000	0.0165378163
2500	0.0711948241	1.0000000000	0.0120970644
3000	0.0861972597	0.9988185654	0.2042580828
3500	0.1153052849	0.9920581438	0.4009636946
4000	0.1915977202	0.9994946304	0.0032147489
4500	0.2072051230	0.9993925007	0.0009430746
5000	0.2431694848	0.9959989536	0.0058389600
5500	0.2589180420	0.9963844971	0.0103545228
6000	0.3130140734	0.9884721664	0.0709283430
6500	0.3788542348	0.9606711405	0.3404594774
7000	0.4701642910	0.9276521011	0.8861272939
7500	0.6280445720	0.8308317357	0.9380654088
