1500	0.0975906256	1.0000000000	0.0042275420
2000	0.1105754334	1.0000000000	0.0056706967
2500	0.1199376331	1.0000000000	0.0045837884
3000	0.1372434499	1.0000000000	0.0036653463
3500	0.1553883431	0.9993617656	0.0034679371
4000	0.1662641405	0.9997502872	0.0022304088
4500	0.1803829677	0.9988372505	0.0040674970
5000	0.2180946498	0.9948513788	0.0122844428
5500	0.2304090245	0.9957936161	0.0230011545
6000	0.2823984193	0.9860655958	0.6223225477
6500	0.3402458110	0.9619092007	0.9284618060
7000	0.4082293151	0.9372769144	0.9842131262
7500	0.5368315929	0.8747245263	0.9626195072
